nghb_name;nghb_external_code;city_id
Viñedos Valle Redondo;407;738
Lomas del Picacho;1118;738
El Picacho;408;738
Santa Cruz de La Presa;409;738
La Cantera;410;738
Cereso (para Varones y Mujeres);1093;738
Gral. José María Morelos y Pavón;412;738
La Cañada;1427;738
Cañada Honda;411;738
El Cortijo;413;738
La Escondida;414;738
La Presa;415;738
San Vicente;416;738
Santa María de Gallardo;417;738
Jaltomate;418;738
La Rioja;1125;738
San Ignacio III;1287;738
La Perla;1285;738
Puesta del Sol;1086;738
Ex Hacienda San Ignacio;1162;738
Rinconada San Ignacio;1161;738
San Ignacio;419;738
La Soledad;1087;738
San Ignacio 3;1281;738
San Ignacio II;1286;738
Los Pocitos;420;738
Parque Industrial Tecno Polo;1066;738
Sandovales de Arriba;1190;738
Las Plazuelas;1158;738
Contadero;1374;738
Puerta del Sol;1385;738
Santa María;1381;738
Rincón Andaluz;1157;738
Torre Campestre Santa María;1159;738
La Joya;1375;738
La Punta Campestre;1160;738
Río Viejo;1379;738
El Salto;1257;747
Palo Alto;421;747
El Saucito;1258;747
De Afuera;1254;747
Pobre;1253;747
De Abajo;1255;747
Centro del Barrio;1252;747
De Triana;1251;747
El Progreso;1256;747
Las Flores;425;747
Granja San José (San Antonio de Montoya);1269;747
San Rafael;1262;747
San Francisco de Los Pedroza;1259;747
El Coton;422;747
Lic Jesús Terán;427;747
San Francisco de los Viveros;428;747
El Barreno (Ampliación San Francisco);1260;747
San Gerónimo;1263;747
El Mocho;1261;747
El Milagro;423;747
El Vaciero;424;747
Las Laminas;426;747
Sandovales;429;747
El Colorin;430;747
El Novillo;431;747
La Luz;432;747
La Luz de Palo Alto;433;747
Ojo de Agua de Crucitas;435;747
El Puertecito;434;747
Ojo de Agua de Placitas;436;747
El Terremoto;437;747
Francisco Sarabia;438;747
Montoya;440;747
Santa Rosa;441;747
Los Conos;439;747
El Retoño;442;747
El Rosario;1264;747
San Jerónimo;444;747
La Tinaja;443;747
Santa Elena;451;747
Santa Clara (Las Mieleras);1275;747
La Primavera;448;747
El Tildio;446;747
La Calavera (Q. de Alonso);1278;747
San Antonio de La Rosa;1279;747
El Copetillo;445;747
Santa Rita Uno (Santa Rita);1273;747
La Lucita;1277;747
Tanque El Coyote (El Coyote);1268;747
Mirasoles;1270;747
La Paz;447;747
El Copetillo (El Moquete);1267;747
El Paraíso (Santa Rita);1272;747
San Lorenzo;1274;747
Rancho Nuevo;1265;747
Granja Temixco;1271;747
La Unión;449;747
Lomas del Refugio;450;747
El Chonguillo (El Chonguito);1266;747
San Agustín;1276;747
San Ramón;1280;747
Cereso el Llano;1092;747
Buena Vista de Peñuelas;453;738
Peñuelas;455;738
Cieneguilla;454;738
Parque Industrial Logística Automotriz;2;738
Arellano;452;738
Salto de los Salados;458;738
El Salto de Ojocaliente;456;738
La Huerta;457;738
San Francisco;459;738
San Gerardo;460;738
Delegación de La Secretaria de Comercio y Fomento Industrial;3;738
Palacio de Gobierno del Estado de Aguascalientes;4;738
Colinas del Rio;5;738
Las Brisas;7;738
Olivares Santana;6;738
Ramon Romo Franco;8;738
San Cayetano;9;738
Colinas de San Ignacio;10;738
La Fundición;11;738
Los Sauces;13;738
Fundición II;12;738
Línea de Fuego;14;738
Buenos Aires;16;738
Las Arboledas;19;738
Villas de San Francisco;20;738
Circunvalación Norte;18;738
Villas de La Universidad;21;738
Gremial;23;738
Industrial;24;738
El Sol;22;738
Curtidores;27;738
La Concordia;29;738
Miravalle;30;738
Panorama;31;738
Altavista;26;738
Colinas del Poniente;36;738
San Pablo;42;738
La Fe;39;738
México;40;738
Del Carmen;38;738
Primavera;41;738
Bugambilias;37;738
Guadalupe;43;738
Heliodoro Garcia;44;738
Moderno;46;738
Gómez;45;738
Valle del Rio San Pedro;48;738
San Marcos;51;738
Guadalupe Posada;49;738
San Marcos;50;738
San Marcos;52;738
Residencial del Valle I;55;738
Modelo;54;738
Residencial del Valle II;53;738
Campestre La Herradura;57;738
Los Vergeles;62;738
Club Campestre;58;738
Jardines del Campestre;61;738
Campestre 1a. Sección;59;738
Campestre 2a. Sección;60;738
La Querencia;1068;738
Rancho San Antonio;1284;738
La Enramada;1408;738
Puerto las Hadas;66;738
Talamantes Ponce;64;738
Villas de Montenegro;68;738
Granjas del Campestre;65;738
Valle del Campestre;67;738
Las Cavas;1058;738
Villas de San Nicolás;73;738
Trojes de Oriente 1a Sección;69;738
Valle de las Trojes;72;738
La Paloma;1075;738
Villa de las Trojes;1383;738
Trojes de Oriente 2a Sección;70;738
Barrio de Santiago;1370;738
Valle de Santa Teresa;1409;738
La Troje;74;738
Trojes de Alonso;75;738
Santa Fe;1380;738
Aguascalientes 2000;76;738
Trojes del Sol;80;738
Los Jarales;1133;738
Cerrada de la Mezquitera;1402;738
Misión del Campanario;78;738
Cerrada del Valle;1371;738
Valle del Campanario;986;738
Las Misiones;1132;738
Cerrada El Molino;1140;738
Las Trojes;77;738
Cerrada de La Misión;1354;738
Trojes de Kristal;79;738
Valle Real;1282;738
Terzetto;1283;738
Villas del Campestre;82;738
Lomas del Campestre 2a Sección;81;738
Los Calicantos;1011;738
Jardines de La Concepción 1a Sección;83;738
Jardines de La Concepción 2a Sección;84;738
Rinconada los Bosques;86;738
Los Bosques;85;738
Arroyo El Molino;1029;738
Residencial Altaria;1373;738
Galerías;1173;738
Constitución;90;738
Pozo Bravo Norte;92;738
Villa de Nuestra Señora de La Asunción Sector Guadalupe;979;738
Villa de Nuestra Señora de La Asunción Sector Estación;1080;738
Residencial las Plazas;1091;738
Montebello Della Stanza;1135;738
Soberana Convención Revolucionaria;94;738
El Rosedal;1124;738
Villa Loma Dorada;1384;738
Los Naranjos;975;738
Jardines de Montebello;1386;738
Villa de Nuestra Señora de La Asunción Sector San Marcos;1079;738
Privada Guadalupe;1167;738
Rinconada del Puertecito;1394;738
Villa Teresa;981;738
Libertad;91;738
El Puertecito;1391;738
Villas de La Convención;1043;738
Lomas de La Asunción;1045;738
Villa de Nuestra Señora de La Asunción Sector Encino;1046;738
Villa de Nuestra Señora de La Asunción Sector Alameda;1055;738
San José de Pozo Bravo;1057;738
Villa Notre Dame;1166;738
Villas del Río;1390;738
Natura;1126;738
Rinconada Pozo Bravo;1186;738
Pozo Bravo Sur;1291;738
Bosques del Prado Norte;95;738
Lomas del Campestre 1a Sección;97;738
Residencial Campestre Club de Golf Norte;1121;738
Residencial Campestre Club de Golf Sur;1122;738
Palma Real;1377;738
Bosques del Prado Sur;98;738
Nueva Rinconada;105;738
Puerta Navarra;1062;738
Palmas del Pedregal;1378;738
El Roble;99;738
San José del Arenal;107;738
Independencia de México;102;738
Fátima;101;738
Primo Verdad;106;738
Unidad Ganadera;108;738
Centro Distribuidor de Básicos;1064;738
Agropecuario;109;738
La Rinconada;110;738
El Plateado;111;738
Villas del Vergel;114;738
Residencial Pulgas Pandas Sur;113;738
Residencial Pulgas Pandas Norte;112;738
Cerrada San Miguel;1372;738
Las Hadas;116;738
Andrea;1369;738
Morelos;117;738
Los Arcos;119;738
Industrial;120;738
Lomas del Cobano;1012;738
Buenavista;121;738
C.T.M.;122;738
Macias Arellano;124;738
La Estrella;123;738
La Higuerilla;125;738
Parras;126;738
Trojes del Cobano;129;738
El Cobano;127;738
Villas del Cobano;1342;738
Hacienda el Cobano 1a Sección;128;738
Alianza Ferrocarrilera;130;738
Bosques del Prado Oriente;1335;738
Francisco Guel Jimenez;132;738
Las Viñas INFONAVIT;133;738
Santa Anita 4a Sección;1018;738
Santa Anita 2a Sección;136;738
Santa Anita;135;738
S.T.E.M.A.;143;738
El Maguey;138;738
Las Cumbres;139;738
Rodolfo Landeros Gallegos;142;738
Zona Militar;144;738
Nazario Ortiz Garza;141;738
Lic Benito Juárez;140;738
Villa Bonita;1020;738
Lic Benito Palomino Dena;145;738
Claustros Loma Dorada;1170;738
Cumbres III;1420;738
Mirador de Las Culturas III;1155;738
Vista de las Cumbres;1027;738
Los Laureles 3ra. Sección;1156;738
Paseos del Sol;1357;738
Villas de las Fuentes;1421;738
Villas de La Loma;1169;738
Miradores de Santa Elena;1419;738
Colinas de Oriente;982;738
Mirador de Las Culturas;1072;738
Mirador de las Culturas 2a Sección;1073;738
Los Pericos;1188;738
Los Laureles 2a Sección;1060;738
Los Laureles;1059;738
Ejido las Cumbres;147;738
J Refugio Esparza Reyes;148;738
Lomas de Oriente 2da. Sección;1153;738
Lomas de Oriente 3ra. Sección;1154;738
Lomas de Oriente 1a Sección;1054;738
C.N.O.P. Oriente;149;738
Pensadores Mexicanos;154;738
Santa Margarita;1436;738
Cerro Alto;1042;738
Progreso;156;738
Las Cumbres;151;738
Pintores Mexicanos;155;738
Luis Ortega Douglas;153;738
Las Cumbres II;152;738
Luis Gómez Zepeda (ferronales);159;738
Bosques de La Alameda;1175;738
Ferronales;158;738
Rinconada de La Alameda;1174;738
Nueva Alameda;1425;738
Del Trabajo;157;738
Lomas de Santa Anita;160;738
Héroes;162;738
La Hacienda;163;738
La Mancha;164;738
Ojocaliente INEGI II;167;738
Terra Nova;1168;738
Real del Sol;1441;738
José Guadalupe Peralta Gámez;977;738
Ojocaliente 3a Sección;168;738
Colinas de San Patricio;1081;738
El Rocio;1293;738
Valle del Bicentenario;1340;738
Paseo de los Cactus;1397;738
Ojocaliente I;166;738
Ojocaliente INEGI;169;738
Villerías;1023;738
José Guadalupe Peralta Gámez II;1424;738
Haciendas de Aguascalientes 1a Sección;980;738
Real de Haciendas;1063;738
Valle de los Cactus;1070;738
Balcones de Oriente;1134;738
Cerro Prieto 4;317;750
Cerro Prieto 6;319;750
Morelia;325;750
Cerro Prieto 5;318;750
Cerro Prieto 1;328;750
Saltillo;331;750
Nuevo León;332;750
Río Hardy;2712;750
Guerrero;333;750
Patzcuaro;334;750
Pescaderos;335;750
Primavera;2656;750
Tlaxcala;337;750
Veracruz 1;338;750
Del Sol;2051;750
Indeco;2052;750
Guadalupe Victoria;336;750
Valle de Guadalupe;2053;750
Parcela del Valle;2050;750
Valle Nuevo;2334;750
Nicolás Bravo;2054;750
Chaussé;2606;750
Gral. Francisco Murguía (Km. 49);340;750
Madero;342;750
Chapultepec;341;750
Benito Juárez;443;750
El Faro;347;750
La Puerta;349;750
Alberto Oviedo Mota;344;750
Cucapah (Indígena);345;750
Cucapah (Mestizos);346;750
Camacho;350;750
La Mariana;352;750
Jesús González Ortega;351;750
Durango;353;750
Sonora;355;750
Aguascalientes;354;750
Venustiano Carranza;356;750
El Caimán;357;750
Independencia;359;750
Robertson;360;750
Alvarado;2;750
Terrenos Indios;361;750
Leona Vicario;362;750
Silva;366;750
Zacatecas;368;750
Elías;364;750
Venustiano Carranza (Estación Coahuila Km. 57);363;750
Hindúes;365;750
Plan de Ayala;369;750
Sombrerete;370;750
Colonias Nuevas;371;750
Dr. Alberto Oviedo Mota INDIVISO;373;750
Luis Encinas Johnson;2787;750
Quintana Roo;374;750
Toluca;375;750
Francisco Santana Peralta;2601;750
Veracruz 2;377;750
2 Tubos;376;750
Distrito Federal;379;750
Chiapas;380;750
VIllarreal;382;750
La Soledad;679;739
San Pedro;680;739
El Polvo;681;739
Caldera;682;739
El Tepozán;1303;739
Adolfo Lopez Mateos;683;739
Charco Prieto (El Palomar);1301;739
El Fénix;1302;739
San Antonio de los Martinez;684;739
Gorriones;685;739
Ojo de Agua de Rosales;686;739
Tepetatillo;687;739
San José del Rio;688;739
El Llavero;689;739
San Vicente;690;739
3 Valles;691;739
Emancipación;692;739
Tanque Viejo;693;739
Las Adjuntas;694;739
La Tinajuela;1331;739
Tanque de Guadalupe;695;739
Las Joyas;696;739
Ojo de Agua de los Sauces;697;739
San José del Tulillo;1310;739
San Rafael de Ocampo;698;739
San Isidro;699;739
El Chonguillo;700;739
Francisco Villa;701;739
El Epazote;702;739
Las Fraguas;703;739
Pilotos;704;739
El Bajío de Los Campos;1330;739
El Salitre;705;739
Bajío del Salitre;706;739
Las Negritas;707;739
Calvillo Centro;708;740
Vista Hermosa;715;740
Sección Loma de Fundadores;1229;740
Vista Hermosa 2a. Sección;1230;740
El Mirador;710;740
Lopez Mateos;712;740
Sección Benito Juárez;1227;740
Independencia;711;740
Paseras;714;740
Zona Militar XIV;716;740
Sección Cerritos;1228;740
Lomas de Huejúcar;717;740
San Rafael;1218;740
Rincón de Baltazares;1221;740
San Nicolás;718;740
José Landeros;1222;740
Magisterial;955;740
Liberal;720;740
Rincón de Baltazares;721;740
La Fortuna;953;740
Morelos;1225;740
Ejidal;719;740
Del Carmen;1223;740
Azteca;1224;740
Los Arcos;954;740
Arroyo de Los Caballos;1220;740
Valle de Santiago;722;740
Las Flores;724;740
Martinez;725;740
El Cerrito;956;740
Los Angeles;957;740
Chicago;1226;740
Valle de Huejúcar;726;740
Emiliano Zapata;723;740
Palo Alto;728;740
El Terrero de La Labor;727;740
Terrero de Sáuz;729;740
El Zapote;732;740
Las Rubias;734;740
El Sáuz de La Labor;731;740
Piedras Chinas;735;740
El Molino;730;740
Las Cuevas;733;740
San Tadeo;739;740
Duraznillas;736;740
El Jagüey;737;740
Jardines de San Isidro (colonia Limón);1108;740
El Mirador;738;740
Solidaridad;1214;740
Los Muñoz;1217;740
Los Lazo;741;740
Montoro;742;740
El Capulín;740;740
Villas del Laurel;1433;740
Las Víboras;747;740
Chiquihuitero;745;740
San Nicolás;750;740
Arroyo Quita Sueño;743;740
La Panadera;746;740
Los Arquitos;748;740
San Isidro el Chiquihuitero;749;740
El Llano (El Llano de San Rafael);1213;740
